year,species,abundance,nights,trap_nights,abund_per_trapnight
1991,albigula,3,2,296,0.010135135135135136
1991,amplus,3,2,296,0.010135135135135136
1991,baileyi,1,2,296,0.0033783783783783786
1991,eremicus,1,2,296,0.0033783783783783786
1991,merriami,21,2,296,0.07094594594594594
1991,penicillatus,23,2,296,0.0777027027027027
1992,albigula,1,2,296,0.0033783783783783786
1992,amplus,2,2,296,0.006756756756756757
1992,baileyi,14,2,296,0.0472972972972973
1992,merriami,38,2,296,0.12837837837837837
1992,penicillatus,29,2,296,0.09797297297297297
1992,torridus,1,2,296,0.0033783783783783786
1993,albigula,18,2,296,0.060810810810810814
1993,amplus,7,2,296,0.02364864864864865
1993,baileyi,22,2,296,0.07432432432432433
1993,eremicus,4,2,296,0.013513513513513514
1993,merriami,31,2,296,0.10472972972972973
1993,penicillatus,15,2,296,0.05067567567567568
1993,torridus,2,2,296,0.006756756756756757
1994,albigula,12,2,296,0.04054054054054054
1994,baileyi,34,2,296,0.11486486486486487
1994,merriami,21,2,296,0.07094594594594594
1994,penicillatus,6,2,296,0.02027027027027027
1995,albigula,6,2,296,0.02027027027027027
1995,baileyi,9,2,296,0.030405405405405407
1995,merriami,11,2,296,0.037162162162162164
1995,penicillatus,12,2,296,0.04054054054054054
1996,albigula,6,2,296,0.02027027027027027
1996,baileyi,15,2,296,0.05067567567567568
1996,merriami,6,2,296,0.02027027027027027
1996,penicillatus,6,2,296,0.02027027027027027
1997,albigula,3,2,296,0.010135135135135136
1997,baileyi,13,2,296,0.04391891891891892
1997,merriami,11,2,296,0.037162162162162164
1997,penicillatus,8,2,296,0.02702702702702703
1998,albigula,5,2,296,0.016891891891891893
1998,baileyi,10,2,296,0.033783783783783786
1998,merriami,8,2,296,0.02702702702702703
1998,penicillatus,10,2,296,0.033783783783783786
1999,albigula,2,2,296,0.006756756756756757
1999,amplus,1,2,296,0.0033783783783783786
1999,baileyi,31,2,296,0.10472972972972973
1999,merriami,17,2,296,0.057432432432432436
1999,penicillatus,15,2,296,0.05067567567567568
2000,albigula,1,2,296,0.0033783783783783786
2000,baileyi,5,2,296,0.016891891891891893
2000,merriami,12,2,296,0.04054054054054054
2000,penicillatus,5,2,296,0.016891891891891893
2001,baileyi,7,2,296,0.02364864864864865
2001,merriami,8,2,296,0.02702702702702703
2001,penicillatus,1,2,296,0.0033783783783783786
2002,baileyi,8,2,296,0.02702702702702703
2002,merriami,9,2,296,0.030405405405405407
2003,baileyi,17,2,296,0.057432432432432436
2003,merriami,11,2,296,0.037162162162162164
2003,penicillatus,13,2,296,0.04391891891891892
2004,albigula,9,2,296,0.030405405405405407
2004,amplus,2,2,296,0.006756756756756757
2004,baileyi,46,2,296,0.1554054054054054
2004,merriami,29,2,296,0.09797297297297297
2004,penicillatus,29,2,296,0.09797297297297297
2005,albigula,4,2,296,0.013513513513513514
2005,amplus,2,2,296,0.006756756756756757
2005,baileyi,54,2,296,0.18243243243243243
2005,merriami,13,2,296,0.04391891891891892
2005,penicillatus,15,2,296,0.05067567567567568
2006,albigula,9,1,148,0.060810810810810814
2006,baileyi,23,1,148,0.1554054054054054
2006,eremicus,1,1,148,0.006756756756756757
2006,merriami,10,1,148,0.06756756756756757
2006,penicillatus,3,1,148,0.02027027027027027
2007,albigula,18,2,296,0.060810810810810814
2007,baileyi,51,2,296,0.17229729729729729
2007,merriami,10,2,296,0.033783783783783786
2007,penicillatus,2,2,296,0.006756756756756757
2007,torridus,4,2,296,0.013513513513513514
2008,albigula,13,2,296,0.04391891891891892
2008,baileyi,14,2,296,0.0472972972972973
2008,merriami,10,2,296,0.033783783783783786
2008,penicillatus,2,2,296,0.006756756756756757
