year,species,biomass_g
1991,albigula,1.593388030888031
1991,amplus,0.12478885135135136
1991,baileyi,0.09913948634498373
1991,eremicus,0.05767374517374518
1991,merriami,2.775852193023473
1991,penicillatus,1.4707704942511572
1992,albigula,0.5311293436293437
1992,amplus,0.08319256756756757
1992,baileyi,1.3879528088297721
1992,merriami,5.022970634994857
1992,penicillatus,1.8544497536210243
1992,torridus,0.061293436293436296
1993,albigula,9.560328185328187
1993,amplus,0.2911739864864865
1993,baileyi,2.181068699589642
1993,eremicus,0.23069498069498073
1993,merriami,4.097686570653699
1993,penicillatus,0.9591981484246679
1993,torridus,0.12258687258687259
1994,albigula,6.373552123552124
1994,baileyi,3.370742535729447
1994,merriami,2.775852193023473
1994,penicillatus,0.38367925936986713
1995,albigula,3.186776061776062
1995,baileyi,0.8922553771048536
1995,merriami,1.454017815393248
1995,penicillatus,0.7673585187397343
1996,albigula,3.186776061776062
1996,baileyi,1.487092295174756
1996,merriami,0.7931006265781353
1996,penicillatus,0.38367925936986713
1997,albigula,1.593388030888031
1997,baileyi,1.2888133224847884
1997,merriami,1.454017815393248
1997,penicillatus,0.5115723458264895
1998,albigula,2.6556467181467185
1998,baileyi,0.9913948634498373
1998,merriami,1.0574675021041804
1998,penicillatus,0.6394654322831119
1999,albigula,1.0622586872586874
1999,amplus,0.041596283783783786
1999,baileyi,3.0733240766944956
1999,merriami,2.2471184419713834
1999,penicillatus,0.9591981484246679
2000,albigula,0.5311293436293437
2000,baileyi,0.49569743172491865
2000,merriami,1.5862012531562706
2000,penicillatus,0.31973271614155596
2001,baileyi,0.6939764044148861
2001,merriami,1.0574675021041804
2001,penicillatus,0.06394654322831118
2002,baileyi,0.7931158907598699
2002,merriami,1.1896509398672028
2003,baileyi,1.6853712678647235
2003,merriami,1.454017815393248
2003,penicillatus,0.8313050619680454
2004,albigula,4.780164092664093
2004,amplus,0.08319256756756757
2004,baileyi,4.560416371869251
2004,merriami,3.8333196951276536
2004,penicillatus,1.8544497536210243
2005,albigula,2.124517374517375
2005,amplus,0.08319256756756757
2005,baileyi,5.353532262629121
2005,merriami,1.718384690919293
2005,penicillatus,0.9591981484246679
2006,albigula,9.560328185328187
2006,baileyi,4.560416371869251
2006,eremicus,0.11534749034749037
2006,merriami,2.643668755260451
2006,penicillatus,0.38367925936986713
2007,albigula,9.560328185328187
2007,baileyi,5.05611380359417
2007,merriami,1.3218343776302255
2007,penicillatus,0.12789308645662237
2007,torridus,0.24517374517374518
2008,albigula,6.904681467181468
2008,baileyi,1.3879528088297721
2008,merriami,1.3218343776302255
2008,penicillatus,0.12789308645662237
